Date,US_Stocks,US_Bonds,Dev_Stocks_ExUS,Dev_Bonds_ExUS,EM_Stocks,EM_Bonds,Cash
2018-02-19,252.49000549316406,106.62999725341797,17.204999923706055,54.099998474121094,48.650001525878906,112.68000030517578,91.5
2018-02-26,247.36000061035156,106.45999908447266,16.739999771118164,54.130001068115234,47.279998779296875,112.16999816894531,91.44999694824219
2018-03-05,256.25,106.37000274658203,17.100000381469727,54.20000076293945,48.43000030517578,112.27999877929688,91.45999908447266
2018-03-12,252.99000549316406,106.69999694824219,17.020000457763672,54.43000030517578,47.849998474121094,112.2300033569336,91.4800033569336
2018-03-19,238.08999633789062,106.61000061035156,16.415000915527344,54.560001373291016,45.869998931884766,111.08999633789062,91.51000213623047
2018-03-26,242.0800018310547,107.25,16.854999542236328,54.72999954223633,46.97999954223633,112.81999969482422,91.55000305175781
2018-04-02,238.6199951171875,106.91000366210938,16.7450008392334,54.68000030517578,46.15999984741211,112.56999969482422,91.45999908447266
2018-04-09,243.60000610351562,106.80000305175781,17.075000762939453,54.650001525878906,46.540000915527344,112.41000366210938,91.4800033569336
2018-04-16,245.0,106.0,17.139999389648438,54.52000045776367,46.13999938964844,111.1500015258789,91.51000213623047
2018-04-23,244.9199981689453,105.9800033569336,17.155000686645508,54.599998474121094,45.9900016784668,110.48999786376953,91.55000305175781
2018-04-30,244.41000366210938,105.86000061035156,17.1200008392334,54.61000061035156,45.20000076293945,108.62999725341797,91.47000122070312
2018-05-07,250.47000122070312,105.86000061035156,17.34000015258789,54.54999923706055,46.11000061035156,109.16999816894531,91.4800033569336
2018-05-14,249.25999450683594,105.30000305175781,17.21500015258789,54.34000015258789,44.95000076293945,107.91000366210938,91.5199966430664
2018-05-21,250.0399932861328,106.12000274658203,17.0,54.470001220703125,45.16999816894531,109.62000274658203,91.55999755859375
2018-05-28,251.41000366210938,106.08000183105469,16.93000030517578,54.369998931884766,45.11000061035156,108.0,91.44999694824219
2018-06-04,255.57000732421875,105.75,17.05500030517578,54.11000061035156,45.099998474121094,107.69000244140625,91.4800033569336
2018-06-11,255.8300018310547,105.87999725341797,16.915000915527344,54.5099983215332,44.20000076293945,106.77999877929688,91.51000213623047
2018-06-18,253.57000732421875,105.94000244140625,16.719999313354492,54.7400016784668,42.790000915527344,107.4000015258789,91.52999877929688
2018-06-25,249.50999450683594,106.31999969482422,16.524999618530273,54.709999084472656,42.20000076293945,106.7699966430664,91.58000183105469
2018-07-02,253.00999450683594,106.41999816894531,16.639999389648438,54.79999923706055,42.25,108.26000213623047,91.4800033569336
2018-07-09,256.7900085449219,106.51000213623047,16.69499969482422,54.90999984741211,42.79999923706055,109.06999969482422,91.5
2018-07-16,256.9800109863281,106.2699966430664,16.7549991607666,54.88999938964844,42.90999984741211,108.55999755859375,91.54000091552734
2018-07-23,258.5899963378906,106.08000183105469,16.940000534057617,54.709999084472656,43.7400016784668,109.56999969482422,91.56999969482422
2018-07-30,260.6600036621094,105.97000122070312,16.78499984741211,54.56999969482422,43.31999969482422,108.30999755859375,91.45999908447266
2018-08-06,260.1199951171875,106.2300033569336,16.454999923706055,54.72999954223633,42.36000061035156,106.37000274658203,91.5
2018-08-13,261.8599853515625,106.45999908447266,16.375,54.75,41.34000015258789,107.0199966430664,91.5199966430664
2018-08-20,264.20001220703125,106.7300033569336,16.614999771118164,54.7400016784668,42.18000030517578,107.4000015258789,91.55999755859375
2018-08-27,266.7200012207031,106.41000366210938,16.6200008392334,54.720001220703125,42.040000915527344,106.0999984741211,91.58999633789062
2018-09-03,264.17999267578125,105.80999755859375,16.149999618530273,54.70000076293945,40.459999084472656,105.5999984741211,91.48999786376953
2018-09-10,267.3599853515625,105.66999816894531,16.454999923706055,54.619998931884766,40.7400016784668,106.69000244140625,91.51000213623047
2018-09-17,269.55999755859375,105.45999908447266,16.90999984741211,54.599998474121094,41.79999923706055,107.23999786376953,91.55000305175781
2018-09-24,267.04998779296875,105.5199966430664,16.764999389648438,54.540000915527344,41.0,107.80999755859375,91.58000183105469
2018-10-01,264.5400085449219,104.33000183105469,16.3799991607666,54.130001068115234,39.220001220703125,105.83999633789062,91.4800033569336
2018-10-08,253.60000610351562,104.75,15.729999542236328,54.2400016784668,38.720001220703125,105.80999755859375,91.5
2018-10-15,253.85000610351562,104.37000274658203,15.710000038146973,54.400001525878906,38.09000015258789,105.45999908447266,91.52999877929688
2018-10-22,243.75999450683594,104.9000015258789,15.109999656677246,54.689998626708984,37.40999984741211,105.44000244140625,91.58000183105469
2018-10-29,249.80999755859375,104.02999877929688,15.574999809265137,54.470001220703125,39.36000061035156,104.58000183105469,91.45999908447266
2018-11-05,255.33999633789062,104.13999938964844,15.595000267028809,54.5099983215332,38.45000076293945,104.61000061035156,91.51000213623047
2018-11-12,251.49000549316406,104.66000366210938,15.479999542236328,54.529998779296875,39.59000015258789,104.02999877929688,91.54000091552734
2018-11-19,242.00999450683594,104.6500015258789,15.1850004196167,54.650001525878906,38.59000015258789,102.93000030517578,91.56999969482422
2018-11-26,253.47999572753906,104.87999725341797,15.4350004196167,54.7599983215332,39.689998626708984,103.69000244140625,91.61000061035156
2018-12-03,242.25999450683594,105.4800033569336,14.954999923706055,54.97999954223633,38.619998931884766,104.06999969482422,91.48999786376953
2018-12-10,239.3800048828125,105.55999755859375,14.425000190734863,55.040000915527344,38.709999084472656,104.6500015258789,91.52999877929688
2018-12-17,221.16000366210938,105.79000091552734,13.880000114440918,55.09000015258789,37.869998931884766,102.94999694824219,91.41000366210938
2018-12-24,227.75999450683594,106.22000122070312,14.140000343322754,54.15999984741211,38.16999816894531,103.55000305175781,91.44999694824219
2018-12-31,231.91000366210938,106.69000244140625,14.4399995803833,54.27000045776367,38.86000061035156,105.13999938964844,91.48999786376953
2019-01-07,237.88999938964844,106.55000305175781,14.755000114440918,54.209999084472656,39.779998779296875,105.5199966430664,91.5199966430664
2019-01-14,244.9199981689453,106.3499984741211,15.020000457763672,54.369998931884766,40.54999923706055,106.72000122070312,91.55999755859375
